episode,scenario,ens,evaluatino_area,hour_index,value
240527,1000_5x5,e1,city,1,305.9803575
240527,1000_5x5,e2,city,1,305.7765182
240527,1000_5x5,e3,city,1,305.0364765
240527,1000_5x5,e1,region,1,306.9494727
240527,1000_5x5,e2,region,1,306.9777377
240527,1000_5x5,e3,region,1,306.6613772
240527,1000_5x5,e1,city,2,304.6604543
240527,1000_5x5,e2,city,2,304.6188897
240527,1000_5x5,e3,city,2,304.5510683
240527,1000_5x5,e1,region,2,306.1610712
240527,1000_5x5,e2,region,2,306.1690693
240527,1000_5x5,e3,region,2,305.88571
240527,1000_5x5,e1,city,3,303.5917546
240527,1000_5x5,e2,city,3,303.491056
240527,1000_5x5,e3,city,3,303.9869984
240527,1000_5x5,e1,region,3,305.4435182
240527,1000_5x5,e2,region,3,305.4094261
240527,1000_5x5,e3,region,3,305.1839304
240527,1000_5x5,e1,city,4,302.7242285
240527,1000_5x5,e2,city,4,302.382246
240527,1000_5x5,e3,city,4,302.9878539
240527,1000_5x5,e1,region,4,304.8017773
240527,1000_5x5,e2,region,4,304.710557
240527,1000_5x5,e3,region,4,304.5794476
240527,1000_5x5,e1,city,5,301.6557822
240527,1000_5x5,e2,city,5,301.9672675
240527,1000_5x5,e3,city,5,301.1099823
240527,1000_5x5,e1,region,5,304.1866247
240527,1000_5x5,e2,region,5,304.1134377
240527,1000_5x5,e3,region,5,304.0158798
240527,1000_5x5,e1,city,6,300.6271809
240527,1000_5x5,e2,city,6,301.3946827
240527,1000_5x5,e3,city,6,300.08046
240527,1000_5x5,e1,region,6,303.6197574
240527,1000_5x5,e2,region,6,303.5824321
240527,1000_5x5,e3,region,6,303.5151301
240527,1000_5x5,e1,city,7,299.6260143
240527,1000_5x5,e2,city,7,300.1124495
240527,1000_5x5,e3,city,7,299.289295
240527,1000_5x5,e1,region,7,303.4232799
240527,1000_5x5,e2,region,7,303.3792111
240527,1000_5x5,e3,region,7,303.3134645
240527,1000_5x5,e1,city,8,300.8777415
240527,1000_5x5,e2,city,8,301.0156097
240527,1000_5x5,e3,city,8,300.8528462
240527,1000_5x5,e1,region,8,305.0988528
240527,1000_5x5,e2,region,8,305.0363674
240527,1000_5x5,e3,region,8,304.9854698
240527,1000_5x5,e1,city,9,303.2408799
240527,1000_5x5,e2,city,9,303.1543333
240527,1000_5x5,e3,city,9,303.1504189
240527,1000_5x5,e1,region,9,307.0072867
240527,1000_5x5,e2,region,9,307.0105699
240527,1000_5x5,e3,region,9,306.8127931
240527,1000_5x5,e1,city,10,305.9706608
240527,1000_5x5,e2,city,10,305.8289566
240527,1000_5x5,e3,city,10,306.034545
240527,1000_5x5,e1,region,10,308.9905427
240527,1000_5x5,e2,region,10,309.0241616
